RoomSize_m2,Ventilation_ACH,ViralLoad,EstimatedInfections,LogViralLoad
30,1,1000.0,0,6.907755278982137
30,1,1000.0,0,6.907755278982137
30,1,1000.0,0,6.907755278982137
30,1,1000.0,0,6.907755278982137
30,1,1000.0,1,6.907755278982137
30,1,1000.0,0,6.907755278982137
30,1,1000.0,0,6.907755278982137
30,1,1000.0,1,6.907755278982137
30,1,1000.0,0,6.907755278982137
30,1,1000.0,0,6.907755278982137
30,1,4641.588833612777,2,8.442812007644834
30,1,4641.588833612777,1,8.442812007644834
30,1,4641.588833612777,0,8.442812007644834
30,1,4641.588833612777,0,8.442812007644834
30,1,4641.588833612777,0,8.442812007644834
30,1,4641.588833612777,4,8.442812007644834
30,1,4641.588833612777,0,8.442812007644834
30,1,4641.588833612777,1,8.442812007644834
30,1,4641.588833612777,1,8.442812007644834
30,1,4641.588833612777,1,8.442812007644834
30,1,21544.346900318822,3,9.977868736307531
30,1,21544.346900318822,6,9.977868736307531
30,1,21544.346900318822,3,9.977868736307531
30,1,21544.346900318822,3,9.977868736307531
30,1,21544.346900318822,6,9.977868736307531
30,1,21544.346900318822,3,9.977868736307531
30,1,21544.346900318822,4,9.977868736307531
30,1,21544.346900318822,4,9.977868736307531
30,1,21544.346900318822,6,9.977868736307531
30,1,21544.346900318822,7,9.977868736307531
30,1,100000.0,14,11.512925464970229
30,1,100000.0,17,11.512925464970229
30,1,100000.0,31,11.512925464970229
30,1,100000.0,18,11.512925464970229
30,1,100000.0,23,11.512925464970229
30,1,100000.0,24,11.512925464970229
30,1,100000.0,21,11.512925464970229
30,1,100000.0,20,11.512925464970229
30,1,100000.0,12,11.512925464970229
30,1,100000.0,22,11.512925464970229
30,1,464158.8833612772,80,13.047982193632924
30,1,464158.8833612772,87,13.047982193632924
30,1,464158.8833612772,97,13.047982193632924
30,1,464158.8833612772,93,13.047982193632924
30,1,464158.8833612772,92,13.047982193632924
30,1,464158.8833612772,86,13.047982193632924
30,1,464158.8833612772,86,13.047982193632924
30,1,464158.8833612772,94,13.047982193632924
30,1,464158.8833612772,87,13.047982193632924
30,1,464158.8833612772,84,13.047982193632924
30,1,2154434.6900318824,453,14.583038922295621
30,1,2154434.6900318824,443,14.583038922295621
