RoomSize_m2,Ventilation_ACH,ViralLoad,EstimatedInfections
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,2
30,1,1000.0,1
30,1,1000.0,1
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,1000.0,0
30,1,4641.588833612777,1
30,1,4641.588833612777,1
30,1,4641.588833612777,3
30,1,4641.588833612777,2
30,1,4641.588833612777,2
30,1,4641.588833612777,0
30,1,4641.588833612777,0
30,1,4641.588833612777,0
30,1,4641.588833612777,0
30,1,4641.588833612777,0
30,1,21544.346900318822,1
30,1,21544.346900318822,6
30,1,21544.346900318822,2
30,1,21544.346900318822,2
30,1,21544.346900318822,4
30,1,21544.346900318822,4
30,1,21544.346900318822,3
30,1,21544.346900318822,3
30,1,21544.346900318822,9
30,1,21544.346900318822,6
30,1,100000.0,23
30,1,100000.0,23
30,1,100000.0,22
30,1,100000.0,24
30,1,100000.0,17
30,1,100000.0,20
30,1,100000.0,21
30,1,100000.0,19
30,1,100000.0,19
30,1,100000.0,24
30,1,464158.8833612772,81
30,1,464158.8833612772,87
30,1,464158.8833612772,91
30,1,464158.8833612772,96
30,1,464158.8833612772,86
30,1,464158.8833612772,106
30,1,464158.8833612772,97
30,1,464158.8833612772,94
30,1,464158.8833612772,90
30,1,464158.8833612772,89
30,1,2154434.6900318824,425
30,1,2154434.6900318824,440
30,1,2154434.6900318824,421
30,1,2154434.6900318824,468
30,1,2154434.6900318824,417
30,1,2154434.6900318824,437
30,1,2154434.6900318824,426
30,1,2154434.6900318824,430
30,1,2154434.6900318824,442
30,1,2154434.6900318824,458
30,1,10000000.0,2008
30,1,10000000.0,1950
30,1,10000000.0,2058
30,1,10000000.0,2060
30,1,10000000.0,1995
30,1,10000000.0,1954
30,1,10000000.0,2003
30,1,10000000.0,2006
30,1,10000000.0,1974
30,1,10000000.0,1980
30,1,46415888.33612773,9205
30,1,46415888.33612773,9264
30,1,46415888.33612773,9227
30,1,46415888.33612773,9255
30,1,46415888.33612773,9322
30,1,46415888.33612773,9256
30,1,46415888.33612773,9236
30,1,46415888.33612773,9275
30,1,46415888.33612773,9136
30,1,46415888.33612773,9353
30,1,215443469.00318778,43144
30,1,215443469.00318778,42915
30,1,215443469.00318778,42881
30,1,215443469.00318778,43265
30,1,215443469.00318778,43054
30,1,215443469.00318778,42813
30,1,215443469.00318778,43267
30,1,215443469.00318778,42812
30,1,215443469.00318778,42713
30,1,215443469.00318778,42963
30,1,1000000000.0,200644
30,1,1000000000.0,200923
30,1,1000000000.0,199916
30,1,1000000000.0,200217
30,1,1000000000.0,200014
30,1,1000000000.0,199938
30,1,1000000000.0,200304
30,1,1000000000.0,199771
30,1,1000000000.0,200909
30,1,1000000000.0,199883
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,1
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,1000.0,0
30,3,4641.588833612777,0
30,3,4641.588833612777,1
30,3,4641.588833612777,1
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,4641.588833612777,1
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,4641.588833612777,0
30,3,21544.346900318822,1
30,3,21544.346900318822,2
30,3,21544.346900318822,0
30,3,21544.346900318822,1
30,3,21544.346900318822,4
30,3,21544.346900318822,2
30,3,21544.346900318822,1
30,3,21544.346900318822,0
30,3,21544.346900318822,2
30,3,21544.346900318822,1
30,3,100000.0,13
30,3,100000.0,5
30,3,100000.0,7
30,3,100000.0,5
30,3,100000.0,5
30,3,100000.0,9
30,3,100000.0,6
30,3,100000.0,10
30,3,100000.0,4
30,3,100000.0,7
30,3,464158.8833612772,30
30,3,464158.8833612772,31
30,3,464158.8833612772,33
30,3,464158.8833612772,44
30,3,464158.8833612772,33
30,3,464158.8833612772,27
30,3,464158.8833612772,26
30,3,464158.8833612772,28
30,3,464158.8833612772,30
30,3,464158.8833612772,19
30,3,2154434.6900318824,137
30,3,2154434.6900318824,150
30,3,2154434.6900318824,142
30,3,2154434.6900318824,145
30,3,2154434.6900318824,143
30,3,2154434.6900318824,133
30,3,2154434.6900318824,158
30,3,2154434.6900318824,125
30,3,2154434.6900318824,122
30,3,2154434.6900318824,154
30,3,10000000.0,617
30,3,10000000.0,628
30,3,10000000.0,682
30,3,10000000.0,688
30,3,10000000.0,697
30,3,10000000.0,675
30,3,10000000.0,605
30,3,10000000.0,645
30,3,10000000.0,648
30,3,10000000.0,659
30,3,46415888.33612773,3081
30,3,46415888.33612773,3055
30,3,46415888.33612773,3108
30,3,46415888.33612773,3139
30,3,46415888.33612773,3057
30,3,46415888.33612773,3096
30,3,46415888.33612773,3105
30,3,46415888.33612773,3158
30,3,46415888.33612773,3056
30,3,46415888.33612773,3050
30,3,215443469.00318778,14429
30,3,215443469.00318778,14389
30,3,215443469.00318778,14500
30,3,215443469.00318778,14182
30,3,215443469.00318778,14271
30,3,215443469.00318778,14228
30,3,215443469.00318778,14454
30,3,215443469.00318778,14272
30,3,215443469.00318778,14531
30,3,215443469.00318778,14252
30,3,1000000000.0,66508
30,3,1000000000.0,67081
30,3,1000000000.0,67413
30,3,1000000000.0,66350
30,3,1000000000.0,66992
30,3,1000000000.0,66901
30,3,1000000000.0,66571
30,3,1000000000.0,66725
30,3,1000000000.0,66577
30,3,1000000000.0,66589
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,1000.0,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,4641.588833612777,0
30,6,21544.346900318822,1
30,6,21544.346900318822,1
30,6,21544.346900318822,1
30,6,21544.346900318822,0
30,6,21544.346900318822,1
30,6,21544.346900318822,1
30,6,21544.346900318822,0
30,6,21544.346900318822,1
30,6,21544.346900318822,0
30,6,21544.346900318822,0
30,6,100000.0,4
30,6,100000.0,1
30,6,100000.0,7
30,6,100000.0,1
30,6,100000.0,3
30,6,100000.0,8
30,6,100000.0,4
30,6,100000.0,1
30,6,100000.0,0
30,6,100000.0,4
30,6,464158.8833612772,20
30,6,464158.8833612772,19
30,6,464158.8833612772,19
30,6,464158.8833612772,24
30,6,464158.8833612772,14
30,6,464158.8833612772,17
30,6,464158.8833612772,13
30,6,464158.8833612772,18
30,6,464158.8833612772,12
30,6,464158.8833612772,13
30,6,2154434.6900318824,79
30,6,2154434.6900318824,61
30,6,2154434.6900318824,88
30,6,2154434.6900318824,82
30,6,2154434.6900318824,72
30,6,2154434.6900318824,73
30,6,2154434.6900318824,78
30,6,2154434.6900318824,66
30,6,2154434.6900318824,61
30,6,2154434.6900318824,75
30,6,10000000.0,329
30,6,10000000.0,321
30,6,10000000.0,330
30,6,10000000.0,326
30,6,10000000.0,319
30,6,10000000.0,330
30,6,10000000.0,365
30,6,10000000.0,350
30,6,10000000.0,339
30,6,10000000.0,321
30,6,46415888.33612773,1555
30,6,46415888.33612773,1477
30,6,46415888.33612773,1532
30,6,46415888.33612773,1555
30,6,46415888.33612773,1627
30,6,46415888.33612773,1594
30,6,46415888.33612773,1582
30,6,46415888.33612773,1530
30,6,46415888.33612773,1525
30,6,46415888.33612773,1507
30,6,215443469.00318778,7089
30,6,215443469.00318778,7107
30,6,215443469.00318778,7173
30,6,215443469.00318778,7307
30,6,215443469.00318778,7299
30,6,215443469.00318778,6997
30,6,215443469.00318778,7149
30,6,215443469.00318778,7125
30,6,215443469.00318778,7356
30,6,215443469.00318778,7043
30,6,1000000000.0,33466
30,6,1000000000.0,33137
30,6,1000000000.0,33089
30,6,1000000000.0,33124
30,6,1000000000.0,33776
30,6,1000000000.0,33297
30,6,1000000000.0,33380
30,6,1000000000.0,33266
30,6,1000000000.0,33346
30,6,1000000000.0,33277
60,1,1000.0,1
60,1,1000.0,0
60,1,1000.0,0
60,1,1000.0,0
60,1,1000.0,0
60,1,1000.0,0
60,1,1000.0,0
60,1,1000.0,0
60,1,1000.0,0
60,1,1000.0,0
60,1,4641.588833612777,0
60,1,4641.588833612777,0
60,1,4641.588833612777,0
60,1,4641.588833612777,0
60,1,4641.588833612777,2
60,1,4641.588833612777,0
60,1,4641.588833612777,0
60,1,4641.588833612777,0
60,1,4641.588833612777,1
60,1,4641.588833612777,0
60,1,21544.346900318822,2
60,1,21544.346900318822,1
60,1,21544.346900318822,1
60,1,21544.346900318822,3
60,1,21544.346900318822,3
60,1,21544.346900318822,1
60,1,21544.346900318822,1
60,1,21544.346900318822,1
